950106013-044	19	23	しかし、並立制が連立政権を求めている	かというと	、そうではない。	1=>W:話題,0=>その他
950106214-026	22	23	私は生まれて初めて、男が傷つくってこんな時	かな	、と実感したのである。	1=>M:疑問,0=>その他
950106082-024	21	22	虎男さんは「私の身代わり校長みたいなもの	かな	」と苦笑する。	1=>M:疑問,0=>その他
950106013-069	45	47	一般的に二大政党か三極になるといわれるが、日本の場合は、比例区を加味してドイツ型になるの	かなあ	と思っている。	1=>M:疑問,0=>その他
950405043-019	7	12	妙に聞こえる	かもしれない	が、投票率が低くなればなるほど、少人数の意向で政治の方向が決まってしまうのに似ている。	1=>M:推量,0=>その他
950106013-006	18	23	二大政党制はそれなりの良さがあるの	かもしれない	。	1=>M:推量,0=>その他
950404053-022	22	27	この提言を米当局が受け入れる可能性は少ない	かもしれない	。	1=>M:推量,0=>その他
950106013-026	17	22	新進党にすぐ入るということはない	かもしれない	が、そういう方向に我々がこの党をどう作り上げていくかにかかっていると思う。	1=>M:推量,0=>その他
950405043-015	52	57	この趨勢では軒並み投票率を下げ一九八一年の千葉県知事選での二五％というワースト記録を破る選挙が出てくる	かもしれない	のである。	1=>M:推量,0=>その他
950106013-037	19	24	共産党もあるし、ほかの政党も出てくる	かもしれない	。	1=>M:推量,0=>その他
950106217-006	77	83	「最近のデコデコやり過ぎた饒舌な装飾が多すぎる世の中で、日本人が伝えてきた清潔な美しさを表現できないものかと考えてひので細工を創案した。簡単そうに見える	かもしれません	が、これで結構エネルギーを注いでるんですよ」と安久利さん。	1=>M:推量,0=>その他
950401040-014	9	13	これは、北朝鮮側	からすれば	「徹底して」関係改善に関係のない核問題や行方不明日本人の「李恩恵」問題は、持ち出せないとの合意になる。	1=>P:立場,0=>その他
950404053-029	16	18	世界経済は、三〇年代に似た危機	からの	脱却が急がれる。	1=>D:起点,0=>その他
950404053-024	3	5	日本	からの	メッセージは、必ずや通貨改革の布石となり、日本の発言権と信頼を高めることにつながるはずである。	1=>D:起点,0=>その他
950106204-020	12	14	後味の悪いオリンピック	からの	撤退。	1=>D:起点,0=>その他
950106055-004	5	7	マラウイ	からの	報道によると、政府の調査委員会は一九八三年五月に「交通事故で死亡」とされた三閣僚、一国会議員の死について、「当時の警察特別機動部隊の指示により殺害、事故に偽装された事件」とする報告書を発表した。	1=>D:起点,0=>その他
950106173-007	22	24	しかし、同共和国に隣接するイングーシ共和国	からの	報道によると、ロシア軍は同日、大統領官邸やグロズヌイ西部の石油化学工場を空爆し、一時はチェチェン側部隊を撃退したが、同日夜までにチェチェン側が再び首都の大半を奪還したという。	1=>D:起点,0=>その他
950106044-003	8	10	イスラマバード	からの	報道では、首都やカラチで連日、チェチェンの同胞支援の集会が開かれている。	1=>D:起点,0=>その他
950106046-006	18	20	同基地には最大時で約二万人のハイチ	からの	ボートピープルが収容されていたが、昨年十月の軍事政権退陣と民政復帰で、順次、本国へ自主的に帰還。	1=>D:起点,0=>その他
950106024-006	4	6	十一日	からの	重油船積みは、米国防総省傘下の油類油類供給庁が五日指示してきた。	1=>D:起点,0=>その他
950106056-002	75	77	ロシア外務省は四日、チェチェン情勢に関連してアフガニスタン、イラン、パキスタン、ヨルダン、サウジアラビアの各駐ロシア大使を呼び、これらイスラム五カ国	からの	武装勢力がチェチェンを支援している、と注意を喚起した。	1=>D:起点,0=>その他
950106045-003	7	9	モガディシオ	からの	報道によると、協定は激戦地となった同市同市内ベルムダ地区へのすべての道路からの兵力撤退など三項目からなり、五日午前六時から発効。	1=>D:起点,0=>その他
